id,name,price,stock
1,ASUS ROG Strix Z790-E,499.99,15
2,ASUS TUF Gaming B650-PLUS,229.99,20
3,ASUS ProArt X670E-Creator,399.99,10
4,ASUS ROG Strix RTX 4090 OC,2199.99,5
5,ASUS Dual RTX 4070,649.99,12
6,ASUS ROG Swift PG32UQ,899.99,7
7,ASUS TUF VG27AQ Monitor,379.99,15
8,ASUS ROG Loki 850W PSU,179.99,10
9,ASUS ROG Strix Helios Case,329.99,8
10,ASUS ROG Ryujin II 360 AIO Cooler,279.99,6
11,ASUS TUF Gaming LC 240 RGB,149.99,9
12,ASUS Hyper M.2 x16 Gen 4 Card,89.99,20
13,ASUS USB-C Expansion Card,59.99,25
14,ASUS ThunderboltEX 4 Card,129.99,5
15,ASUS ROG Strix X670E-E,499.99,10
