id,name,price,stock
1,NVIDIA RTX 4090,1599.99,12
2,NVIDIA Jetson Nano,99.99,25
3,NVIDIA A100 Tensor Core,9999.99,2
4,NVIDIA Shield TV Pro,199.99,30
5,NVIDIA RTX 4080,1199.99,8
6,NVIDIA GeForce GTX 1660,229.99,14
7,NVIDIA Jetson Xavier,699.99,10
8,NVIDIA Quadro RTX 6000,3999.99,3
9,NVIDIA DGX Station,99999.99,1
10,NVIDIA RTX 4070 Ti,799.99,11
11,NVIDIA Jetson Orin NX,399.99,9
12,NVIDIA GeForce RTX 3060,329.99,20
13,NVIDIA AI Enterprise Software,249.99,5
14,NVIDIA Shield Laptop,1099.99,6
15,NVIDIA RTX A4000,899.99,7
