id,entries
1,socket:LGA1700;chipset:Z790;formFactor:ATX
2,socket:AM5;chipset:B650;formFactor:ATX
3,socket:AM5;chipset:X670E;formFactor:ATX;network:10GbE
4,gpu:RTX 4090;vram:24GB;cooling:Triple Fan
5,gpu:RTX 4070;vram:12GB;cooling:Dual Fan
6,resolution:3840x2160;refreshRate:144Hz;panel:IPS
7,resolution:2560x1440;refreshRate:165Hz;panel:IPS
8,power:850W;efficiency:80+ Platinum;formFactor:SFX-L
9,type:Mid Tower;rgb:Yes;material:Tempered Glass
10,type:AIO;size:360mm;display:LCD;fans:3x120mm
11,type:AIO;size:240mm;rgb:Yes;fans:2x120mm
12,interface:PCIe 4.0 x16;slots:4x M.2;cooling:Passive
13,ports:USB-C;internalHeader:Yes;speed:10Gbps
14,interface:PCIe 3.0;ports:2x Thunderbolt 4;usb:4x USB 3.2
15,socket:AM5;chipset:X670E;formFactor:ATX;wifi:WiFi 6E
